words,ONsize,frequency,concreteness
trod,2.0,0.019423696,0
pant,10.0,0.025161534,1
robe,5.0,0.042052879,1
slew,7.0,0.027564299,0
mint,10.0,0.03857022,1
sale,15.0,0.050603841,0
dojo,0.0,0.024677382,1
plan,3.0,0.064257303,0
gram,6.0,0.032808985,1
clef,1.0,0.00979284,1
mood,7.0,0.052893216,0
faux,1.0,0.023797268,0
frog,2.0,0.044635626,1
bode,8.0,0.019742265,0
core,20.0,0.043190367,1
tour,5.0,0.052113893,0
talc,3.0,0.014630766,1
scar,8.0,0.042034881,1
jolt,5.0,0.027902666,0
also,1.0,0.066978636,0
bore,13.0,0.041336549,0
hind,8.0,0.032386026,1
herb,5.0,0.037895286,1
sear,18.0,0.014006227,0
ally,1.0,0.052571048,0
mope,10.0,0.022373607,0
limb,5.0,0.037389536,1
weep,8.0,0.038654812,1
hoop,8.0,0.033096956,1
maim,3.0,0.019090729,0
knit,2.0,0.030420619,1
bold,10.0,0.041136769,0
jell,9.0,0.00979284,0
leaf,6.0,0.038226454,1
awed,2.0,0.00979284,0
euro,0.0,0.021671676,1
prep,3.0,0.041136769,0
poem,1.0,0.045755116,1
bare,16.0,0.041907093,0
lard,9.0,0.02949011,1
gash,12.0,0.022593186,1
silk,7.0,0.04315977,1
flee,6.0,0.037223952,0
yogi,1.0,0.023417505,1
plod,5.0,0.008588758,0
exit,2.0,0.046784615,1
duty,1.0,0.056046507,0
hone,13.0,0.023016144,0
fuzz,2.0,0.030260434,1
lime,13.0,0.034680801,1
prey,3.0,0.038681809,0
bunt,9.0,0.023797268,0
rape,12.0,0.046996994,0
gale,13.0,0.037772898,1
spry,1.0,0.021912853,0
flip,5.0,0.046106082,1
fore,15.0,0.032981768,0
plot,7.0,0.044479041,0
tier,2.0,0.025906661,0
fold,11.0,0.042177067,1
fuel,3.0,0.04755134,1
dung,7.0,0.029841076,1
lynx,0.0,0.0,1
thee,4.0,0.050794622,0
arid,4.0,0.016727561,0
hoot,13.0,0.032866579,1
torn,8.0,0.043960692,1
weak,6.0,0.052290276,0
cuff,4.0,0.038955382,1
folk,3.0,0.040721009,0
cope,14.0,0.03458721,0
spud,4.0,0.024841166,1
coma,3.0,0.044928997,0
gawk,1.0,0.016727561,0
dire,11.0,0.03153471,0
hose,10.0,0.041646119,1
foil,9.0,0.026966757,1
peep,11.0,0.036986375,0
fawn,4.0,0.022807365,1
spin,5.0,0.046296863,1
stow,5.0,0.027211533,0
size,2.0,0.055268984,0
hock,11.0,0.031394323,0
east,8.0,0.055826929,0
rail,12.0,0.037223952,1
pest,13.0,0.033590108,1
raft,4.0,0.037454329,1
tutu,0.0,0.022593186,1
host,6.0,0.046503843,0
lube,4.0,0.022593186,1
cute,4.0,0.060292291,0
sate,15.0,0.007163298,0
tuck,11.0,0.041550728,1
eats,2.0,0.045161174,1
spew,5.0,0.019742265,0
eave,8.0,0.008588758,1
cunt,9.0,0.040393441,1
slat,14.0,0.007163298,1
hawk,3.0,0.045222368,1
waxy,2.0,0.018379799,1
rank,8.0,0.042052879,0
june,3.0,0.048282068,0
reap,6.0,0.032808985,0
awry,2.0,0.020903151,0
fade,8.0,0.038820396,0
item,1.0,0.044954194,1
airy,2.0,0.016727561,0
vine,12.0,0.031180144,1
cult,3.0,0.037020572,0
sail,12.0,0.045810911,1
fend,11.0,0.024841166,0
peso,1.0,0.015210309,1
sped,6.0,0.021912853,0
mold,11.0,0.036741599,1
whoa,1.0,0.064854844,0
blob,7.0,0.026714782,1
lend,11.0,0.044531236,0
glob,4.0,0.00979284,1
nova,0.0,0.03837224,1
ogle,1.0,0.017998236,0
afro,0.0,0.026320621,1
wort,10.0,0.017998236,1
seep,11.0,0.012580767,0
bent,15.0,0.040784003,0
whom,3.0,0.053154191,0
nude,4.0,0.039218157,1
peon,1.0,0.014006227,0
cock,9.0,0.044333255,1
alum,3.0,0.010836738,1
clad,6.0,0.013325894,0
toad,3.0,0.038928385,1
sole,10.0,0.038314645,1
bale,15.0,0.030960566,1
tone,14.0,0.047407354,0
duly,3.0,0.027791076,0
earl,1.0,0.048906607,0
dorm,5.0,0.040805601,1
fang,7.0,0.030499811,1
crap,7.0,0.05755116,0
sank,10.0,0.031394323,0
magi,0.0,0.020345206,1
tick,10.0,0.040827199,1
glen,1.0,0.040742607,0
axed,4.0,0.016254207,0
posh,6.0,0.027330322,0
tack,14.0,0.031252137,1
zinc,1.0,0.024162632,1
disk,7.0,0.040121668,1
data,1.0,0.050670434,1
daft,3.0,0.027677688,0
able,2.0,0.064982632,0
vice,9.0,0.048184878,0
goof,8.0,0.031603103,0
noun,1.0,0.020629578,0
gasp,3.0,0.029668293,1
crow,5.0,0.037020572,1
hack,11.0,0.042106874,0
fowl,8.0,0.022593186,1
lots,1.0,0.05734238,0
boot,16.0,0.044169471,1
anti,1.0,0.020345206,0
font,4.0,0.02500315,1
taxi,0.0,0.050740627,1
type,4.0,0.057405374,0
heap,8.0,0.037740501,1
wary,10.0,0.023219524,0
west,12.0,0.057392776,0
nape,6.0,0.014630766,1
gait,4.0,0.016727561,0
jerk,1.0,0.052682637,0
funk,9.0,0.034349634,0
judo,0.0,0.025161534,1
gent,10.0,0.029122946,1
reed,12.0,0.042592826,1
riot,2.0,0.039957884,1
dork,7.0,0.03652562,0
gala,2.0,0.029841076,1
guts,0.0,0.050080092,1
bush,10.0,0.04601969,1
swam,12.0,0.032260039,0
vain,5.0,0.039981282,0
tong,7.0,0.031806483,1
vamp,4.0,0.024841166,0
doom,6.0,0.038820396,0
lame,14.0,0.044016486,0
oboe,0.0,0.017598675,1
lamb,3.0,0.043804107,1
amen,1.0,0.050782023,0
beam,9.0,0.042265258,1
skew,3.0,0.010836738,0
meld,6.0,0.014630766,0
moss,7.0,0.033537913,1
deny,3.0,0.049264772,0
gout,3.0,0.028010655,1
pout,6.0,0.026047047,0
alto,2.0,0.027791076,0
jazz,0.0,0.044700419,1
porn,8.0,0.04449344,1
dine,15.0,0.036741599,0
dart,10.0,0.030499811,1
boxy,3.0,0.012580767,0
bony,8.0,0.026842569,0
moan,4.0,0.030341427,1
bulb,2.0,0.036036068,1
diet,2.0,0.046685625,0
lick,13.0,0.044045284,1
soot,15.0,0.026047047,1
hire,9.0,0.050645237,0
laud,4.0,0.00979284,0
gosh,4.0,0.051881716,0
snot,7.0,0.031252137,1
tend,7.0,0.044928997,0
toot,11.0,0.028932165,0
onyx,0.0,0.017175717,1
exam,0.0,0.045620129,1
tire,8.0,0.044990191,1
dunk,11.0,0.032808985,1
toss,4.0,0.04500279,1
balm,6.0,0.0214251,0
each,1.0,0.068576879,0
slim,7.0,0.044662623,1
opal,2.0,0.02561689,1
volt,4.0,0.012580767,0
scan,6.0,0.0428556,0
cant,8.0,0.032004464,0
sift,5.0,0.023219524,1
deed,11.0,0.042774608,1
prim,4.0,0.017998236,0
form,10.0,0.054673242,0
blah,1.0,0.045643527,0
skid,6.0,0.031464516,1
curb,4.0,0.036378035,1
lark,8.0,0.029216537,1
atop,2.0,0.02561689,0
rave,13.0,0.032629002,0
lure,7.0,0.036671406,0
path,3.0,0.050341067,1
kiln,3.0,0.017998236,1
whiz,3.0,0.035996472,0
flow,8.0,0.045810911,1
dual,4.0,0.026320621,0
burr,4.0,0.022593186,1
glue,4.0,0.039192959,1
sage,12.0,0.029754684,1
bond,10.0,0.052230881,0
slot,13.0,0.038654812,1
tune,5.0,0.046804413,0
tame,11.0,0.033208546,0
debt,1.0,0.046073685,0
stat,9.0,0.033429924,0
monk,5.0,0.040951387,1
fiat,4.0,0.012580767,0
logo,2.0,0.030012059,1
melt,8.0,0.040890193,1
kale,6.0,0.020903151,1
gain,6.0,0.045800112,0
drab,4.0,0.023797268,0
upon,0.0,0.057668149,0
plop,9.0,0.024162632,0
bass,8.0,0.041136769,1
twig,2.0,0.027791076,1
fame,13.0,0.042195065,0
kilt,7.0,0.021671676,1
dial,4.0,0.042387646,1
jean,5.0,0.047796116,1
pile,12.0,0.045481543,1
yawn,5.0,0.025467504,1
feud,2.0,0.02744911,0
rite,11.0,0.028331024,0
haze,7.0,0.028636994,1
ease,7.0,0.048379259,0
drew,4.0,0.050494052,0
lobe,6.0,0.030260434,1
pact,7.0,0.0357193,0
bait,3.0,0.043112975,1
wide,12.0,0.05009989,0
yelp,3.0,0.010836738,0
dame,14.0,0.045823509,1
ovum,0.0,0.010836738,1
join,3.0,0.05989813,0
harp,7.0,0.032924173,1
jeer,6.0,0.005419269,0
trek,1.0,0.037088965,0
hobo,0.0,0.029927467,1
sunk,12.0,0.037357139,0
pork,9.0,0.043732114,1
crib,1.0,0.039597919,1
sown,5.0,0.017175717,0
barn,10.0,0.045722719,1
yank,4.0,0.037454329,1
jinx,0.0,0.036190853,0
wisp,5.0,0.018743363,0
perm,3.0,0.025467504,1
poll,8.0,0.032508414,0
dare,14.0,0.056699843,0
cork,9.0,0.033590108,1
drum,1.0,0.042034881,1
soil,6.0,0.041376145,1
lice,12.0,0.03132413,1
blab,4.0,0.021167726,0
vile,10.0,0.036986375,0
self,2.0,0.046041288,0
quad,0.0,0.028834974,1
wean,7.0,0.015210309,0
mead,10.0,0.025762675,1
ashy,1.0,0.012580767,0
drag,4.0,0.05092241,1
rend,10.0,0.016727561,0
plus,2.0,0.055420169,0
duet,4.0,0.02744911,1
mill,15.0,0.042952791,1
fled,6.0,0.036917982,0
gory,1.0,0.023016144,0
ripe,9.0,0.03652562,0
hurl,3.0,0.027791076,1
spay,8.0,0.00979284,1
slap,12.0,0.045051385,1
shed,3.0,0.044059682,1
liar,0.0,0.053141592,0
lent,13.0,0.035636508,0
echo,0.0,0.040393441,0
rile,13.0,0.017175717,0
wasp,5.0,0.028224834,1
doer,4.0,0.018743363,0
ward,12.0,0.046095283,0
chin,5.0,0.045186372,1
dome,12.0,0.030656396,1
fart,10.0,0.039887691,1
main,7.0,0.054669642,0
july,2.0,0.044803009,0
leer,6.0,0.020345206,1
port,10.0,0.046244668,1
racy,3.0,0.025161534,0
hula,2.0,0.030656396,1
chew,3.0,0.042558629,1
toke,10.0,0.023797268,0
fool,10.0,0.060432678,0
hemp,4.0,0.017175717,1
dove,12.0,0.038764601,1
gore,11.0,0.026047047,0
coax,3.0,0.023797268,0
free,3.0,0.065799752,0
spam,9.0,0.026586994,1
menu,1.0,0.043298357,1
evil,0.0,0.058870431,0
luau,0.0,0.028834974,1
loop,8.0,0.040281852,1
ajar,1.0,0.019423696,0
palm,3.0,0.045515739,1
hint,6.0,0.042675618,0
gall,11.0,0.030733788,0
vise,8.0,0.018379799,1
woof,7.0,0.033320135,1
lack,13.0,0.047805115,0
heir,2.0,0.038255251,0
perk,7.0,0.028118644,0
twin,3.0,0.043658321,1
purr,2.0,0.023417505,1
cane,16.0,0.041907093,1
bios,1.0,0.008588758,0
clay,7.0,0.044752614,1
soft,5.0,0.052416263,1
bide,10.0,0.020903151,0
fuss,3.0,0.040699411,0
heal,13.0,0.044306258,0
cyan,1.0,0.012580767,1
dill,14.0,0.029841076,1
rasp,4.0,0.008588758,0
mutt,5.0,0.036113461,1
wick,9.0,0.032569608,1
clog,3.0,0.023797268,0
sack,11.0,0.045328558,1
barf,4.0,0.030656396,1
cure,11.0,0.049061392,0
peed,11.0,0.032924173,0
news,1.0,0.065213009,0
mast,13.0,0.029216537,1
tyke,4.0,0.020629578,1
grid,6.0,0.038710606,1
bout,5.0,0.048379259,0
haul,3.0,0.040634618,1
rear,16.0,0.045027987,0
